Time,Data,Average,SD
 13:43:54   ,505.0,688.7,157.32
 13:43:57   ,732.0,708.2,146.81
 13:44:00   ,287.0,634.1,192.39
 13:44:03   ,765.0,723.8,96.34
 13:44:06   ,281.0,633.6,199.07
 13:44:09   ,857.0,698.4,171.35
 13:44:12   ,570.0,616.6,194.77
 13:44:15   ,580.0,622.2,199.55
 13:44:18   ,655.0,610.6,194.83
 13:44:21   ,759.0,595.1,186.02
 13:44:24   ,842.0,607.4,195.4
 13:44:27   ,533.0,601.9,185.6
 13:44:30   ,814.0,641.0,202.52
 13:44:33   ,758.0,660.0,166.33
 13:44:36   ,701.0,659.2,167.76
 13:44:39   ,609.0,697.7,115.8
 13:44:42   ,783.0,699.5,103.97
 13:44:45   ,566.0,681.7,103.54
 13:44:48   ,705.0,715.9,90.88
 13:44:51   ,671.0,703.6,100.86
 13:44:54   ,698.0,700.9,98.77
 13:44:57   ,342.0,648.2,134.01
 13:45:00   ,470.0,677.5,99.09
 13:45:03   ,732.0,656.5,121.5
 13:45:06   ,723.0,626.8,127.28
 13:45:09   ,692.0,626.8,127.5
 13:45:12   ,706.0,639.6,131.11
 13:45:15   ,648.0,624.7,121.45
 13:45:18   ,750.0,648.9,126.48
 13:45:21   ,636.0,631.8,119.94
 13:45:24   ,767.0,652.8,130.44
 13:45:27   ,866.0,656.5,141.65
 13:45:30   ,271.0,639.5,146.89
 13:45:33   ,608.0,712.8,70.59
 13:45:36   ,695.0,675.4,148.32
 13:45:39   ,721.0,666.5,149.39
 13:45:42   ,304.0,625.1,182.93
 13:45:45   ,442.0,640.4,162.9
 13:45:48   ,817.0,643.5,192.4
 13:45:51   ,776.0,608.6,193.58
 13:45:54   ,489.0,598.0,200.64
 13:45:57   ,478.0,597.8,202.04
 13:46:00   ,531.0,565.4,181.03
 13:46:03   ,782.0,611.2,165.36
 13:46:06   ,803.0,605.6,169.46
 13:46:09   ,840.0,618.0,180.2
 13:46:12   ,720.0,614.2,175.88
 13:46:15   ,285.0,624.3,189.8
 13:46:18   ,328.0,656.4,172.78
 13:46:21   ,250.0,595.4,207.55
 13:46:24   ,638.0,589.4,187.57
 13:46:27   ,763.0,578.0,219.87
 13:46:30   ,593.0,577.0,210.48
 13:46:33   ,684.0,609.3,218.23
 13:46:36   ,427.0,564.7,213.18
 13:46:39   ,446.0,554.7,201.5
 13:46:42   ,813.0,550.1,198.9
 13:46:45   ,310.0,472.4,174.86
 13:46:48   ,763.0,570.5,186.68
 13:46:51   ,702.0,562.6,183.62
